,螟沥家疙,荐柯,荐家捞柯丑档,傈扁傈档档,侩粮魂家,醚蜡扁藕家,醚龙家,醚牢,努肺肺鞘,堪拳皋瓶坊,飘府努肺肺俊抛牢,荤堪拳藕家,飘府努肺肺俊瓶坊,抛飘扼努肺肺俊瓶坊,亥哩,喷风浚,俊瓶亥哩,磊老坊,磊老坊,堪拳皋瓶坊,飘府努肺肺俊抛牢,荤堪拳藕家,飘府努肺肺俊瓶坊,抛飘扼努肺肺俊瓶坊
2012-10-14,何咯,17.5,8.9,289.0,12.6,4.5,,,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-15,何咯,17.0,8.7,288.0,12.2,,,,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-16,何咯,16.9,8.9,307.0,,,,,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-17,何咯,16.4,8.9,311.0,,4.5,,,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-18,何咯,15.8,8.8,313.0,,,,,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-19,何咯,15.8,8.5,305.0,,,,,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-20,何咯,15.7,8.5,299.0,,,,,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-10-21,何咯,16.6,8.7,304.0,13.0,,,,,,,,,,,,,,,,,,,
2012-10-22,何咯,15.8,8.4,312.0,11.9,,,,,,,,,,,,,,,,,,,
2012-10-23,何咯,15.3,7.6,325.0,10.1,,,,38.4,,,,,,,,,,,,,,,
2012-10-24,何咯,14.9,7.5,324.0,9.9,,,,34.0,,,,,,,,,,,,,,,
2012-10-25,何咯,15.4,7.4,328.0,9.4,,,,,,,,,,,,,,,,,,,
2012-10-26,何咯,15.3,7.3,313.0,8.9,,,,9.1,,,,,,,,,,,,,,,
2012-10-27,何咯,15.3,7.2,298.0,8.2,3.1,,,11.5,,,,,,,,,,,,,,,
2012-10-28,何咯,15.3,7.1,263.0,7.9,3.3,,,11.1,,,,,,,,,,,,,,,
2012-10-29,何咯,15.2,7.2,263.0,9.0,3.9,,,9.2,,,,,,,,,,,,,,,
2012-10-30,何咯,14.9,7.3,284.0,9.6,,,,10.4,,,,,,,,,,,,,,,
2012-10-31,何咯,14.6,7.3,298.0,9.5,,,,12.4,,,,,,,,,,,,,,,
2012-11-01,何咯,13.8,7.4,309.0,8.8,3.2,,,13.2,,,,,,,,,,,,,,,
2012-11-02,何咯,13.1,7.4,283.0,9.6,3.4,,,15.6,,,,,,,,,,,,,,,
2012-11-03,何咯,13.2,7.7,242.0,10.9,3.2,,,,,,,,,,,,,,,,,,
2012-11-04,何咯,12.9,7.6,236.0,11.0,3.2,,,,,,,,,,,,,,,,,,
2012-11-05,何咯,12.7,7.6,237.0,11.0,3.2,,,,,,,,,,,,,,,,,,
2012-11-06,何咯,12.2,7.5,249.0,11.0,,,,14.3,,,,,,,,,,,,,,,
2012-11-07,何咯,11.8,7.4,278.0,10.7,,,,9.7,,,,,,,,,,,,,,,
2012-11-08,何咯,11.4,7.4,306.0,10.8,,,,7.1,,,,,,,,,,,,,,,
2012-11-09,何咯,11.6,7.4,310.0,11.0,,,,7.2,,,,,,,,,,,,,,,
2012-11-10,何咯,12.0,7.4,312.0,11.1,,,,7.8,,,,,,,,,,,,,,,
2012-11-11,何咯,11.7,7.3,311.0,10.9,,,,7.6,,,,,,,,,,,,,,,
2012-11-12,何咯,11.1,7.3,311.0,10.7,,,,5.1,,,,,,,,,,,,,,,
2012-11-13,何咯,10.7,7.4,315.0,10.2,,,,3.7,,,,,,,,,,,,,,,
2012-11-14,何咯,10.3,7.4,309.0,9.8,,,,3.2,,,,,,,,,,,,,,,
2012-11-15,何咯,10.0,7.3,311.0,9.7,,,,3.1,,,,,,,,,,,,,,,
2012-11-16,何咯,9.1,7.3,298.0,9.8,,,,3.0,,,,,,,,,,,,,,,
2012-11-17,何咯,9.2,7.3,283.0,10.1,,,,2.7,,,,,,,,,,,,,,,
2012-11-18,何咯,9.0,7.2,301.0,9.9,,,,2.4,,,,,,,,,,,,,,,
2012-11-19,何咯,8.7,7.2,297.0,10.0,,,,2.5,,,,,,,,,,,,,,,
2012-11-20,何咯,8.2,7.3,274.0,10.2,,,,2.3,,,,,,,,,,,,,,,
2012-11-21,何咯,7.9,7.3,268.0,10.0,,,,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-11-22,何咯,7.9,7.3,289.0,10.0,,,,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-11-23,何咯,8.0,7.3,291.0,10.3,,,,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-11-24,何咯,7.7,7.3,298.0,10.5,,,,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-11-25,何咯,7.5,7.3,303.0,10.7,,,,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-11-26,何咯,7.3,7.4,299.0,10.9,,,,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-11-27,何咯,7.0,7.3,311.0,10.8,,,,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-11-28,何咯,7.3,7.3,323.0,10.6,,,,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-11-29,何咯,6.9,7.3,328.0,10.9,,,,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-11-30,何咯,6.7,7.4,329.0,11.3,,,,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-01,何咯,6.2,7.4,327.0,11.6,,,,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-02,何咯,6.5,7.4,335.0,11.6,,,,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-03,何咯,5.9,7.4,342.0,11.7,,,,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-04,何咯,5.6,7.4,333.0,11.8,,,,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-05,何咯,5.1,7.5,333.0,11.7,,,,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-06,何咯,4.5,7.5,336.0,11.8,,,,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-07,何咯,3.9,7.5,329.0,12.0,,,,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-08,何咯,3.5,7.5,323.0,12.2,,,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-09,何咯,2.9,7.5,323.0,12.3,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-10,何咯,2.5,7.5,325.0,12.4,,,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-11,何咯,2.0,7.5,330.0,12.5,,,,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2012-12-12,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-13,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-14,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-15,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-16,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-17,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-18,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-19,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-20,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-21,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-22,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-23,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-24,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-25,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-26,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-27,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-28,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-29,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-30,何咯,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,何咯,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,何咯,,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,何咯,,,,,,,,,,,,,,,,,,,,,,,
2013-01-03,何咯,,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,何咯,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,何咯,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,何咯,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,何咯,,,,,,,,,,,,,,,,,,,,,,,
2013-01-08,何咯,,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,何咯,,,,,,,,,,,,,,,,,,,,,,,
2013-01-10,何咯,1.3,7.5,323.0,14.1,,,,,,,,,,,,,,,,,,,
2013-01-11,何咯,1.4,7.5,317.0,14.0,,,,,,,,,,,,,,,,,,,
2013-01-12,何咯,1.7,7.6,310.0,14.0,,,,,,,,,,,,,,,,,,,
2013-01-13,何咯,1.8,7.6,307.0,14.2,,,,,,,,,,,,,,,,,,,
2013-01-14,何咯,2.0,7.6,303.0,14.4,,,,,,,,,,,,,,,,,,,
2013-01-15,何咯,1.8,7.6,303.0,14.2,,,,,,,,,,,,,,,,,,,
2013-01-16,何咯,2.0,7.6,305.0,14.1,,,,,,,,,,,,,,,,,,,
2013-01-17,何咯,2.5,7.6,311.0,14.1,,,,,,,,,,,,,,,,,,,
2013-01-18,何咯,2.5,7.5,312.0,13.9,,,,,,,,,,,,,,,,,,,
2013-01-19,何咯,2.7,7.5,306.0,13.8,,,,,,,,,,,,,,,,,,,
2013-01-20,何咯,2.6,7.5,297.0,14.2,,,,,,,,,,,,,,,,,,,
2013-01-21,何咯,3.1,7.5,296.0,13.8,,,,,,,,,,,,,,,,,,,
2013-01-22,何咯,3.4,7.5,268.0,13.0,,,,,,,,,,,,,,,,,,,
2013-01-23,何咯,4.0,7.4,265.0,12.3,,,,,,,,,,,,,,,,,,,
2013-01-24,何咯,4.3,7.3,304.0,11.2,,,,,,,,,,,,,,,,,,,
2013-01-25,何咯,3.3,7.2,305.0,10.5,,,,,,,,,,,,,,,,,,,
2013-01-26,何咯,2.8,7.2,265.0,11.3,,,,,,,,,,,,,,,,,,,
2013-01-27,何咯,2.3,7.4,246.0,12.2,,,,,,,,,,,,,,,,,,,
2013-01-28,何咯,2.4,7.5,214.0,12.7,,,,,,,,,,,,,,,,,,,
2013-01-29,何咯,2.8,7.5,212.0,12.9,,,,,,,,,,,,,,,,,,,
2013-01-30,何咯,3.4,7.5,212.0,12.9,,,,,,,,,,,,,,,,,,,
2013-01-31,何咯,4.4,7.5,209.0,12.7,,,,,,,,,,,,,,,,,,,
2013-02-01,何咯,5.6,7.4,207.0,12.2,,,,,,,,,,,,,,,,,,,
2013-02-02,何咯,6.0,7.3,199.0,11.6,,,,,,,,,,,,,,,,,,,
2013-02-03,何咯,5.4,7.2,220.0,10.9,,,,,,,,,,,,,,,,,,,
2013-02-04,何咯,4.8,7.2,200.0,11.2,,,,,,,,,,,,,,,,,,,
2013-02-05,何咯,4.1,7.3,182.0,12.1,,,,,,,,,,,,,,,,,,,
2013-02-06,何咯,4.2,7.3,183.0,12.6,,,,,,,,,,,,,,,,,,,
2013-02-07,何咯,3.7,7.3,214.0,12.7,,,,,,,,,,,,,,,,,,,
2013-02-08,何咯,3.0,7.3,211.0,12.9,,,,,,,,,,,,,,,,,,,
2013-02-09,何咯,2.8,7.3,219.0,13.0,,,,,,,,,,,,,,,,,,,
2013-02-10,何咯,2.6,7.3,218.0,13.3,,,,,,,,,,,,,,,,,,,
2013-02-11,何咯,2.8,7.4,211.0,13.5,,,,,,,,,,,,,,,,,,,
2013-02-12,何咯,3.1,7.4,204.0,12.8,,,,,,,,,,,,,,,,,,,
2013-02-13,何咯,3.3,7.4,202.0,12.3,,,,,,,,,,,,,,,,,,,
2013-02-14,何咯,3.7,7.4,198.0,12.4,,,,,,,,,,,,,,,,,,,
2013-02-15,何咯,4.1,7.4,197.0,12.3,,,,,,,,,,,,,,,,,,,
2013-02-16,何咯,4.2,7.3,201.0,12.3,,,,,,,,,,,,,,,,,,,
2013-02-17,何咯,4.5,7.3,230.0,12.0,,,,,,,,,,,,,,,,,,,
2013-02-18,何咯,4.9,7.3,253.0,11.6,,,,,,,,,,,,,,,,,,,
2013-02-19,何咯,4.8,7.3,266.0,11.2,,,,,,,,,,,,,,,,,,,
2013-02-20,何咯,4.7,7.4,269.0,11.3,,,,,,,,,,,,,,,,,,,
2013-02-21,何咯,5.0,7.4,269.0,11.6,,,,,,,,,,,,,,,,,,,
2013-02-22,何咯,5.0,7.4,275.0,11.3,,,,,,,,,,,,,,,,,,,
2013-02-23,何咯,4.8,7.4,281.0,11.5,,,,,,,,,,,,,,,,,,,
2013-02-24,何咯,4.9,7.4,281.0,11.6,,,,,,,,,,,,,,,,,,,
2013-02-25,何咯,5.1,7.4,268.0,11.6,,,,,,,,,,,,,,,,,,,
2013-02-26,何咯,5.4,7.4,264.0,11.4,,,,,,,,,,,,,,,,,,,
2013-02-27,何咯,6.1,7.4,265.0,11.2,,,,,,,,,,,,,,,,,,,
2013-02-28,何咯,6.8,7.4,265.0,11.2,,,,,,,,,,,,,,,,,,,
2013-03-01,何咯,7.1,7.4,270.0,10.9,,,,,,,,,,,,,,,,,,,
2013-03-02,何咯,7.0,7.4,269.0,10.9,,,,,,,,,,,,,,,,,,,
2013-03-03,何咯,7.4,7.4,270.0,11.0,,,,,,,,,,,,,,,,,,,
2013-03-04,何咯,7.8,7.4,275.0,10.9,,,,,,,,,,,,,,,,,,,
2013-03-05,何咯,8.1,7.5,275.0,10.9,,,,,,,,,,,,,,,,,,,
2013-03-06,何咯,8.5,7.5,283.0,11.3,,,,,,,,,,,,,,,,,,,
2013-03-07,何咯,8.7,7.4,294.0,11.3,,,,,,,,,,,,,,,,,,,
2013-03-08,何咯,8.4,7.5,273.0,11.2,,,,,,,,,,,,,,,,,,,
2013-03-09,何咯,9.0,7.9,278.0,12.7,,,,,,,,,,,,,,,,,,,
2013-03-10,何咯,9.1,7.9,286.0,12.7,,,,,,,,,,,,,,,,,,,
2013-03-11,何咯,9.4,8.0,282.0,13.0,,,,,,,,,,,,,,,,,,,
2013-03-12,何咯,9.9,8.1,277.0,13.2,,,,,,,,,,,,,,,,,,,
2013-03-13,何咯,10.0,8.0,292.0,12.9,,,,,,,,,,,,,,,,,,,
2013-03-14,何咯,10.3,8.1,318.0,13.0,,,,,,,,,,,,,,,,,,,
2013-03-15,何咯,10.2,7.9,321.0,12.6,,,,,,,,,,,,,,,,,,,
2013-03-16,何咯,10.4,7.8,321.0,12.5,,,,,,,,,,,,,,,,,,,
2013-03-17,何咯,10.6,7.7,318.0,12.1,,,,,,,,,,,,,,,,,,,
2013-03-18,何咯,,,,,,,,,,,,,,,,,,,,,,,
2013-03-19,何咯,11.5,7.6,247.0,11.2,,,,,,,,,,,,,,,,,,,
2013-03-20,何咯,10.9,7.4,271.0,10.5,,,,,,,,,,,,,,,,,,,
2013-03-21,何咯,10.7,7.4,300.0,10.3,,,,,,,,,,,,,,,,,,,
2013-03-22,何咯,10.5,7.4,281.0,9.9,,,,,,,,,,,,,,,,,,,
2013-03-23,何咯,10.8,7.6,255.0,10.9,,,,,,,,,,,,,,,,,,,
2013-03-24,何咯,10.6,7.8,255.0,11.5,,,,,,,,,,,,,,,,,,,
2013-03-25,何咯,10.0,7.7,244.0,11.3,,,,,,,,,,,,,,,,,,,
2013-03-26,何咯,10.3,7.8,227.0,11.7,,,,,,,,,,,,,,,,,,,
2013-03-27,何咯,10.8,7.7,260.0,11.6,,,,,,,,,,,,,,,,,,,
2013-03-28,何咯,10.9,7.7,287.0,11.8,,,,,,,,,,,,,,,,,,,
2013-03-29,何咯,11.1,7.9,296.0,11.7,,,,,,,,,,,,,,,,,,,
2013-03-30,何咯,10.9,7.9,272.0,11.6,,,,,,,,,,,,,,,,,,,
2013-03-31,何咯,11.3,8.0,308.0,11.7,,,,,,,,,,,,,,,,,,,
2013-04-01,何咯,11.8,8.1,312.0,12.1,2.9,3.845,0.039,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-02,何咯,11.7,7.9,282.0,11.9,2.9,3.887,0.04,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-03,何咯,11.8,7.8,302.0,11.1,2.9,3.844,0.043,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-04,何咯,12.3,8.0,322.0,10.9,3.0,3.921,0.044,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-05,何咯,13.0,8.1,318.0,11.3,2.9,3.829,0.046,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-06,何咯,12.2,7.8,269.0,10.9,2.7,3.595,0.047,30.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2013-04-07,何咯,11.7,7.6,282.0,10.1,2.7,3.291,,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-08,何咯,12.1,7.6,296.0,10.0,2.7,3.125,,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
