,ÃøÁ¤¼Ò¸í,¼ö¿Â,¼ö¼ÒÀÌ¿Â³óµµ,Àü±âÀüµµµµ,¿ëÁ¸»ê¼Ò,Å¹µµ,ÃÑÀ¯±âÅº¼Ò,Å¬·Î·ÎÇÊ,¿°È­¸ÞÆ¿·»,Æ®¸®Å¬·Î·Î¿¡Å×ÀÎ,»ç¿°È­Åº¼Ò,Æ®¸®Å¬·Î·Î¿¡Æ¿·»,Å×Æ®¶óÅ¬·Î·Î¿¡Æ¿·»,º¥Á¨,Åç·ç¿£,¿¡Æ¿º¥Á¨,ÀÚÀÏ·»,ÀÚÀÏ·»,¿°È­¸ÞÆ¿·»,Æ®¸®Å¬·Î·Î¿¡Å×ÀÎ,»ç¿°È­Åº¼Ò,Æ®¸®Å¬·Î·Î¿¡Æ¿·»,Å×Æ®¶óÅ¬·Î·Î¿¡Æ¿·»
2012-08-08,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-09,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-10,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-11,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-12,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-13,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-14,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-15,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-16,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-17,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-18,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-19,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-20,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-21,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-22,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-23,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-24,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-25,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-26,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-27,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-28,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-29,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-30,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-08-31,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-01,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-02,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-03,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-04,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-05,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-06,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-07,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-08,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-09,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-10,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-11,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-12,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-13,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-14,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-15,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-16,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-17,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-18,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-19,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-20,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2012-09-21,Ä¥¼­,20.4,6.8,72.0,7.1,,4.3,,,,,,,,,,,,,,,,
2012-09-22,Ä¥¼­,20.4,6.9,87.0,7.3,,3.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-23,Ä¥¼­,21.2,6.9,107.0,7.3,,4.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-24,Ä¥¼­,21.5,7.0,122.0,7.7,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-25,Ä¥¼­,21.5,7.0,128.0,7.8,,4.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-26,Ä¥¼­,21.7,7.1,136.0,8.2,,4.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-27,Ä¥¼­,21.7,7.1,125.0,8.3,,4.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-28,Ä¥¼­,21.2,7.1,124.0,8.2,,4.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-29,Ä¥¼­,21.3,7.1,115.0,8.4,,3.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-30,Ä¥¼­,21.2,7.3,137.0,9.2,,4.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,Ä¥¼­,21.8,7.7,129.0,9.9,,4.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-02,Ä¥¼­,21.5,7.5,122.0,9.4,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-03,Ä¥¼­,21.3,7.4,119.0,8.7,,4.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-04,Ä¥¼­,21.6,7.4,119.0,8.7,,5.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-05,Ä¥¼­,21.2,7.3,115.0,8.4,,5.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-06,Ä¥¼­,21.3,7.4,134.0,9.0,,6.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-07,Ä¥¼­,21.1,7.4,133.0,8.8,,5.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-08,Ä¥¼­,20.7,7.5,139.0,8.9,,4.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-09,Ä¥¼­,20.5,7.6,144.0,9.2,,4.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-10,Ä¥¼­,20.3,7.5,180.0,9.1,,5.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-11,Ä¥¼­,20.2,7.5,198.0,9.0,,5.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-12,Ä¥¼­,20.1,7.8,182.0,9.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-13,Ä¥¼­,19.9,7.7,199.0,9.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-14,Ä¥¼­,19.6,7.6,203.0,9.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-15,Ä¥¼­,19.3,7.7,188.0,9.8,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-16,Ä¥¼­,19.2,7.6,183.0,9.9,,2.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-17,Ä¥¼­,18.8,7.7,175.0,10.1,,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-18,Ä¥¼­,18.1,7.7,177.0,9.8,,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-19,Ä¥¼­,18.3,7.9,180.0,9.9,,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-20,Ä¥¼­,17.8,7.8,178.0,9.1,,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-21,Ä¥¼­,17.8,7.9,204.0,8.9,,2.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-22,Ä¥¼­,17.7,7.9,214.0,8.5,,2.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-23,Ä¥¼­,17.5,7.9,226.0,8.3,,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-24,Ä¥¼­,17.1,7.9,212.0,8.3,,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-25,Ä¥¼­,17.4,7.9,209.0,8.3,,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-26,Ä¥¼­,17.1,7.9,218.0,8.4,,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-27,Ä¥¼­,17.1,7.8,217.0,8.5,,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-28,Ä¥¼­,17.2,7.7,224.0,8.5,,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-29,Ä¥¼­,16.9,7.6,209.0,8.8,,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-30,Ä¥¼­,16.8,7.6,217.0,8.6,,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-31,Ä¥¼­,16.4,7.6,217.0,8.3,,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,Ä¥¼­,15.8,7.7,211.0,8.4,,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-02,Ä¥¼­,15.3,7.6,279.0,8.0,,2.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-03,Ä¥¼­,14.5,7.7,242.0,,,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-04,Ä¥¼­,14.2,7.7,238.0,,,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-05,Ä¥¼­,14.4,7.7,227.0,,,2.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-06,Ä¥¼­,14.3,7.7,165.0,10.7,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-07,Ä¥¼­,14.0,7.8,161.0,12.0,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-08,Ä¥¼­,13.9,8.1,217.0,12.5,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-09,Ä¥¼­,14.1,8.4,261.0,13.0,,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-10,Ä¥¼­,13.8,8.2,194.0,12.3,,1.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-11,Ä¥¼­,13.6,7.9,193.0,11.7,,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-12,Ä¥¼­,13.3,7.9,235.0,11.1,,1.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-13,Ä¥¼­,13.2,7.9,270.0,10.9,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-14,Ä¥¼­,12.7,7.8,276.0,10.6,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-15,Ä¥¼­,12.4,7.8,291.0,10.7,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-16,Ä¥¼­,12.2,7.8,304.0,10.8,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-17,Ä¥¼­,12.2,7.9,306.0,11.1,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-18,Ä¥¼­,11.9,7.9,330.0,11.7,,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-19,Ä¥¼­,11.4,7.7,338.0,11.6,,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-20,Ä¥¼­,11.4,7.5,343.0,10.9,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-21,Ä¥¼­,11.2,7.6,337.0,11.1,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-22,Ä¥¼­,11.0,7.8,327.0,11.7,,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-23,Ä¥¼­,10.5,7.8,311.0,11.7,,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-24,Ä¥¼­,10.1,7.7,292.0,11.4,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-25,Ä¥¼­,9.7,7.6,286.0,11.4,,1.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-26,Ä¥¼­,9.5,7.5,299.0,10.7,,1.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-27,Ä¥¼­,9.1,7.4,294.0,10.0,,1.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-28,Ä¥¼­,8.6,7.6,250.0,9.5,,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-29,Ä¥¼­,8.8,7.8,274.0,10.2,,1.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-30,Ä¥¼­,8.1,7.5,231.0,11.5,,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,Ä¥¼­,8.1,7.7,264.0,11.8,,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-02,Ä¥¼­,7.5,7.4,232.0,11.9,,1.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-03,Ä¥¼­,7.9,7.9,269.0,12.5,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-04,Ä¥¼­,7.0,7.4,235.0,12.0,,1.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-05,Ä¥¼­,7.0,7.5,267.0,12.4,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-06,Ä¥¼­,6.9,7.8,274.0,12.8,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-07,Ä¥¼­,6.3,7.7,269.0,12.9,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-08,Ä¥¼­,5.7,7.6,277.0,13.2,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-09,Ä¥¼­,4.7,7.3,260.0,13.2,,1.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-10,Ä¥¼­,5.0,7.5,285.0,13.8,,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-11,Ä¥¼­,5.2,7.9,325.0,13.9,,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-12,Ä¥¼­,5.1,7.8,331.0,13.3,,2.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-13,Ä¥¼­,4.8,7.6,324.0,13.0,,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-14,Ä¥¼­,4.3,7.5,317.0,12.8,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-15,Ä¥¼­,4.3,,292.0,12.6,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-16,Ä¥¼­,5.1,7.2,282.0,12.2,,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-17,Ä¥¼­,5.5,7.2,287.0,12.2,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-18,Ä¥¼­,5.8,7.3,256.0,12.3,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-19,Ä¥¼­,5.1,7.4,290.0,13.5,,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-20,Ä¥¼­,4.5,7.4,317.0,14.1,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-21,Ä¥¼­,4.0,7.3,289.0,13.9,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-22,Ä¥¼­,3.9,7.3,271.0,13.1,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-23,Ä¥¼­,4.0,7.2,254.0,11.8,,3.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-24,Ä¥¼­,3.4,7.2,307.0,,,2.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-25,Ä¥¼­,3.2,7.2,283.0,,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-26,Ä¥¼­,2.7,7.1,274.0,,,1.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-27,Ä¥¼­,2.6,7.3,335.0,12.9,,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-28,Ä¥¼­,2.0,7.4,284.0,13.2,,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-29,Ä¥¼­,2.2,7.3,268.0,13.4,,1.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-30,Ä¥¼­,2.7,7.4,283.0,13.3,,1.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-31,Ä¥¼­,2.6,7.4,340.0,13.7,,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
