,螟沥家疙,荐柯,荐家捞柯丑档,傈扁傈档档,侩粮魂家,殴档,醚蜡扁藕家,醚龙家,醚牢,努肺肺鞘
2013-04-25,咯林,12.1,8.1,192.0,13.1,,,2.715,0.027,30.4
2013-04-26,咯林,11.0,8.1,192.0,13.8,3.3,2.5,2.664,0.025,23.7
2013-04-27,咯林,11.8,8.3,191.0,13.7,12.5,2.7,2.622,0.027,28.2
2013-04-28,咯林,11.9,8.2,193.0,13.7,26.1,2.4,2.616,0.023,19.7
2013-04-29,咯林,12.5,8.1,190.0,13.3,8.3,2.4,2.724,0.025,23.7
2013-04-30,咯林,12.1,8.0,192.0,13.1,53.6,2.5,2.728,0.028,19.2
2013-05-01,咯林,13.1,8.1,191.0,13.0,135.8,2.4,2.678,0.031,16.0
2013-05-02,咯林,12.5,8.0,189.0,13.0,111.6,2.3,2.653,0.027,13.9
2013-05-03,咯林,12.1,8.0,192.0,13.2,3.0,2.2,2.571,0.021,
2013-05-04,咯林,12.2,8.1,195.0,13.2,12.0,2.2,2.566,0.023,
2013-05-05,咯林,12.5,8.1,195.0,13.3,21.4,2.2,2.517,0.022,
2013-05-06,咯林,12.9,8.1,195.0,13.0,,2.2,,0.022,
2013-05-07,咯林,13.6,8.1,194.0,12.1,,2.3,,0.022,4.7
2013-05-08,咯林,14.7,8.0,191.0,11.3,2.0,2.2,2.502,0.024,3.7
2013-05-09,咯林,14.0,8.0,193.0,11.6,2.6,2.2,2.54,0.023,3.7
2013-05-10,咯林,12.2,8.0,194.0,12.0,2.6,2.0,2.629,0.019,4.3
2013-05-11,咯林,12.6,8.0,198.0,12.1,3.6,2.5,2.669,0.03,13.2
2013-05-12,咯林,14.1,8.0,196.0,11.9,3.1,2.4,2.651,0.027,7.8
2013-05-13,咯林,15.1,8.0,194.0,11.7,2.9,2.3,2.573,0.026,6.6
2013-05-14,咯林,15.0,8.0,195.0,11.9,2.8,2.2,,0.026,5.5
2013-05-15,咯林,14.7,8.0,196.0,12.2,2.6,2.7,2.615,,4.0
2013-05-16,咯林,14.8,8.1,197.0,12.4,2.5,3.4,2.485,0.022,3.2
2013-05-17,咯林,14.8,8.1,196.0,12.6,2.6,3.0,2.492,0.021,3.5
2013-05-18,咯林,15.4,8.2,198.0,12.3,3.1,2.9,2.52,0.021,8.8
2013-05-19,咯林,14.0,8.0,197.0,12.2,4.3,3.1,2.707,0.02,10.4
2013-05-20,咯林,13.6,7.8,197.0,11.8,7.7,4.0,,0.041,10.9
2013-05-21,咯林,14.0,7.9,197.0,12.3,4.1,3.7,2.731,0.038,7.6
2013-05-22,咯林,14.3,8.0,195.0,12.6,3.7,3.0,2.627,0.034,5.8
2013-05-23,咯林,14.6,8.0,194.0,12.9,3.3,2.7,2.564,0.027,4.8
2013-05-24,咯林,,,,,,3.0,2.466,0.031,
2013-05-25,咯林,16.4,7.9,193.0,11.0,3.0,3.1,2.465,0.031,5.6
2013-05-26,咯林,16.3,7.9,193.0,11.1,3.1,3.0,2.424,0.03,5.0
2013-05-27,咯林,16.0,7.9,193.0,10.8,3.5,2.9,2.431,0.029,7.4
2013-05-28,咯林,15.5,7.6,203.0,10.0,11.9,4.1,3.1,0.105,15.4
2013-05-29,咯林,15.3,7.4,215.0,9.4,8.2,4.0,2.909,0.118,11.1
2013-05-30,咯林,15.2,7.5,214.0,10.1,,2.7,2.618,0.062,8.4
2013-05-31,咯林,16.5,7.6,208.0,10.6,,2.1,2.519,0.04,3.2
2013-06-01,咯林,16.5,7.6,209.0,10.7,3.7,1.9,2.543,0.03,3.5
2013-06-02,咯林,16.1,7.8,215.0,11.3,3.3,1.8,2.553,0.022,2.6
2013-06-03,咯林,17.1,7.9,215.0,11.3,3.4,1.7,2.432,0.018,3.7
2013-06-04,咯林,16.8,7.9,217.0,11.4,3.3,1.7,2.298,0.017,3.6
2013-06-05,咯林,16.5,7.9,218.0,11.6,2.9,1.7,2.23,0.017,3.5
2013-06-06,咯林,16.9,8.0,218.0,11.5,3.1,1.7,2.231,0.015,5.3
2013-06-07,咯林,16.8,7.9,220.0,11.3,2.9,1.7,2.245,0.014,4.7
2013-06-08,咯林,17.6,8.0,221.0,11.1,3.0,1.7,2.349,0.013,6.0
2013-06-09,咯林,17.8,8.0,222.0,10.9,3.2,1.7,2.359,0.013,5.8
2013-06-10,咯林,18.2,7.9,222.0,10.7,3.6,1.7,2.343,0.011,5.3
2013-06-11,咯林,17.3,7.9,223.0,10.4,3.7,1.7,2.323,0.011,4.3
2013-06-12,咯林,16.1,7.7,226.0,9.6,3.5,1.7,2.228,0.01,3.2
2013-06-13,咯林,15.9,7.7,226.0,9.8,3.5,1.7,2.198,0.01,2.8
2013-06-14,咯林,16.7,7.8,225.0,9.9,3.4,1.6,2.261,0.009,2.4
2013-06-15,咯林,17.2,7.8,222.0,10.0,3.2,1.4,2.241,0.009,2.5
2013-06-16,咯林,18.2,7.9,223.0,9.9,3.7,1.1,2.271,0.011,3.4
2013-06-17,咯林,18.2,7.9,223.0,9.9,3.9,1.0,2.327,0.01,5.0
2013-06-18,咯林,17.5,7.7,222.0,9.7,6.4,0.9,2.39,0.018,9.6
2013-06-19,咯林,20.0,7.2,170.0,8.1,134.8,1.1,2.808,0.09,
2013-06-20,咯林,20.7,7.1,150.0,7.8,40.1,1.0,3.342,0.122,6.7
2013-06-21,咯林,21.0,7.2,152.0,7.9,18.5,0.7,3.893,0.109,4.8
2013-06-22,咯林,20.4,7.4,180.0,8.8,10.1,0.7,3.666,0.071,4.6
2013-06-23,咯林,19.8,7.5,197.0,9.4,6.6,0.6,3.492,0.05,7.9
2013-06-24,咯林,19.3,7.7,207.0,10.3,5.7,0.6,3.369,0.05,9.9
2013-06-25,咯林,19.8,7.8,211.0,10.6,5.1,,3.077,0.041,8.6
2013-06-26,咯林,20.4,7.8,208.0,10.3,9.9,,3.06,0.043,17.6
2013-06-27,咯林,21.2,7.7,207.0,9.9,9.7,,3.122,0.06,20.8
2013-06-28,咯林,21.5,7.5,191.0,8.9,37.4,,3.533,0.11,17.2
2013-06-29,咯林,21.6,7.5,200.0,9.5,13.6,,3.436,0.092,10.8
2013-06-30,咯林,22.4,7.6,203.0,9.8,8.3,,3.338,0.065,11.3
2013-07-01,咯林,22.3,7.7,205.0,10.1,7.7,,3.255,0.052,13.2
2013-07-02,咯林,21.6,7.7,211.0,9.9,7.9,,3.436,0.057,20.7
2013-07-03,咯林,21.8,7.7,212.0,10.1,11.1,2.3,3.417,0.068,16.1
2013-07-04,咯林,22.3,7.7,215.0,10.0,6.7,2.2,3.346,0.056,13.3
2013-07-05,咯林,22.2,7.6,212.0,9.6,9.6,2.2,3.389,0.056,11.4
2013-07-06,咯林,22.9,7.4,191.0,9.3,20.0,2.6,3.349,0.078,10.7
2013-07-07,咯林,23.0,7.3,156.0,9.0,19.6,3.1,3.286,0.103,5.4
2013-07-08,咯林,22.3,7.3,163.0,9.1,14.7,2.9,3.24,0.101,5.0
2013-07-09,咯林,22.3,7.4,183.0,9.5,12.4,2.8,3.331,0.104,11.4
2013-07-10,咯林,22.7,7.4,182.0,9.4,7.2,2.5,3.306,0.087,9.2
2013-07-11,咯林,22.4,7.4,190.0,9.3,6.7,2.2,3.252,0.068,4.4
2013-07-12,咯林,21.9,7.6,206.0,9.7,5.8,2.1,3.255,0.064,2.6
2013-07-13,咯林,21.5,7.5,183.0,10.0,51.8,2.7,3.278,0.096,
2013-07-14,咯林,22.0,7.5,194.0,9.4,39.0,2.8,3.254,0.116,
2013-07-15,咯林,,,,,,,,,
2013-07-16,咯林,,,,,,,,,
2013-07-17,咯林,,,,,,,,,
2013-07-18,咯林,,,,,,,,,
2013-07-19,咯林,,,,,,,,,
2013-07-20,咯林,,,,,,,,,
2013-07-21,咯林,,,,,,,,,
2013-07-22,咯林,,,,,,,,,
2013-07-23,咯林,,,,,,,,,
2013-07-24,咯林,,,,,,,,,
2013-07-25,咯林,,,,,,,,,
2013-07-26,咯林,,,,,,,,,
2013-07-27,咯林,,,,,,,,,
2013-07-28,咯林,,,,,,,,,
2013-07-29,咯林,,,,,,,,,
2013-07-30,咯林,,,,,,,,,
2013-07-31,咯林,,,,,,,,,
2013-08-01,咯林,,,,,,,,,
2013-08-02,咯林,,,,,,,,,
2013-08-03,咯林,,,,,,,,,
2013-08-04,咯林,,,,,,,,,
2013-08-05,咯林,,,,,,,,,
2013-08-06,咯林,,,,,,,,,
2013-08-07,咯林,,,,,,,,,
2013-08-08,咯林,,,,,,,,,
2013-08-09,咯林,,,,,,,,,
2013-08-10,咯林,,,,,,,,,
2013-08-11,咯林,,,,,,,,,
2013-08-12,咯林,,,,,,,,,
